Topic,Property,More Resources/Practice,Parent item,Practice,Progress,Resources,Sub-item
Identifying New Design Patterns,No,,Module 4 -- Nov 5-18 -- Design Patterns (Module%204%20--%20Nov%205-18%20--%20Design%20Patterns%2026be7be659d980ee9ba1ff749a329e87.csv),https://q.utoronto.ca/courses/394773/pages/m4-identifying-new-patterns,New,,
"RAT, Ethics Activities",No,iRAT%202.pdf,"Module 5 -- Nov 19-Dec 1 -- Ethics, Regex, and Presentations (Module%205%20--%20Nov%2019-Dec%201%20--%20Ethics,%20Regex,%20and%20Pre%2026be7be659d98013b02cd928b5a109de.csv)",https://q.utoronto.ca/courses/394773/pages/m5-ethics-activity-1 | https://q.utoronto.ca/courses/394773/pages/m5-ethics-activity-2| https://q.utoronto.ca/courses/394773/pages/m5-ethics-activity-3 | https://q.utoronto.ca/courses/394773/pages/m5-ethics-activity-4 | https://q.utoronto.ca/courses/394773/pages/m5-ethics-activity-5,New,https://github.com/CSC207-2025F-UofT/WelcomingApp,
Regular Expressions,No,,"Module 5 -- Nov 19-Dec 1 -- Ethics, Regex, and Presentations (Module%205%20--%20Nov%2019-Dec%201%20--%20Ethics,%20Regex,%20and%20Pre%2026be7be659d98013b02cd928b5a109de.csv)","https://q.utoronto.ca/courses/394773/pages/m5-regular-expressions
Attempt myself: https://github.com/christinecheng1229/m5-regex",New,https://regex101.com/,
14-regular-expressions.md,No,"Regex.pdf, Regex_Practice_Quiz.pdf","Module 5 -- Nov 19-Dec 1 -- Ethics, Regex, and Presentations (Module%205%20--%20Nov%2019-Dec%201%20--%20Ethics,%20Regex,%20and%20Pre%2026be7be659d98013b02cd928b5a109de.csv)",,New,"https://github.com/CSC207-UofT/207-course-notes/blob/master/14-regular-expressions.md

https://github.com/CSC207-UofT/207-course-notes/blob/master/code/regex/Demo.java

https://www.rexegg.com/regex-quickstart.php

https://jenkov.com/tutorials/java-regex/index.html

https://regexcrossword.com/

https://www.w3schools.com/java/java_regex.asp",
L1: Software Lifecycle,No,,Module 0 (not for marks) -- Sept 2-16 -- Java Fundamentals and Version Control (Module%200%20(not%20for%20marks)%20--%20Sept%202-16%20--%20Java%20Fund%2026be7be659d980a1ac65c67180e81c76.csv),,New,https://utoronto-my.sharepoint.com/:b:/r/personal/christineentse_cheng_mail_utoronto_ca/Documents/Year%204/CSC207H1-F/Lecture%201_initial.pdf?csf=1&web=1&e=cYSMlY,
L1: University Example IntelliJ Demo,No,,Module 0 (not for marks) -- Sept 2-16 -- Java Fundamentals and Version Control (Module%200%20(not%20for%20marks)%20--%20Sept%202-16%20--%20Java%20Fund%2026be7be659d980a1ac65c67180e81c76.csv),,New,https://github.com/paulgries/UniversityExample,
05-java-gotchas-and-subtleties.md,No,,Module 1 -- Sept 17-30 -- Java OOP (Module%201%20--%20Sept%2017-30%20--%20Java%20OOP%2026be7be659d980358a36cfb6580c99bc.csv),,New,https://github.com/CSC207-UofT/207-course-notes/blob/master/05-java-gotchas-and-subtleties.md,
06-generics.md,No,,Module 1 -- Sept 17-30 -- Java OOP (Module%201%20--%20Sept%2017-30%20--%20Java%20OOP%2026be7be659d980358a36cfb6580c99bc.csv),,New,https://github.com/CSC207-UofT/207-course-notes/blob/master/06-generics.md,
07-collections.md,No,,Module 1 -- Sept 17-30 -- Java OOP (Module%201%20--%20Sept%2017-30%20--%20Java%20OOP%2026be7be659d980358a36cfb6580c99bc.csv),,New,https://github.com/CSC207-UofT/207-course-notes/blob/master/07-collections.md,
08-program-specification.md,No,,Module 1 -- Sept 17-30 -- Java OOP (Module%201%20--%20Sept%2017-30%20--%20Java%20OOP%2026be7be659d980358a36cfb6580c99bc.csv),https://github.com/mafereyesb/todo-list,New,https://github.com/CSC207-UofT/207-course-notes/blob/master/08-program-specification.md,
"Your Project and SOLID: stakeholders, actors, user",No,,09-design-principles.md (09-design-principles%20md%20280e7be659d980bea45bdf6850fc90fb.csv),,New,,
Design Patterns 2,No,,Module 4 -- Nov 5-18 -- Design Patterns (Module%204%20--%20Nov%205-18%20--%20Design%20Patterns%2026be7be659d980ee9ba1ff749a329e87.csv),https://q.utoronto.ca/courses/394773/pages/m4-design-patterns-2,New,,
